Perfil,Coord_X,Coord_Y,Lim_sup,Lim_inf,Da,CO_g
CG3-P129,584220,9846509,21,30,1.57,17.98
CG3-P130,583287,9851540,0,30,1.13,12.18
CG3-P131,585668,9848041,21,30,1.18,9.28
CG3-P132,578969,9855702,21,30,1.26,19.72
CG3-P133,580566,9852546,21,30,1.23,68.45
CG3-P134,582819,9849531,21,30,1.37,30.16
CG3-P136,582795,9849710,0,30,1.4,12.18
CG3-P137,582374,9857874,21,30,1.46,35.96
CG3-P138,582226,9857919,21,30,1.43,68.45
CG3-P139,581333,9847911,0,30,1.24,15.66
CG3-P140,535312,9894030,0,30,1.58,3.48
CG3-P141,538639,9892458,21,30,1.32,2.32
CG3-P142,536378,9890814,0,30,1.58,3.48
CG3-P145,537947,9894027,0,30,1.56,5.22
CG3-P146,536933,9896877,0,10,1.6,0.58
CG3-P147,530866,9889248,0,30,1.59,1.74
CG3-P148,529677,9887881,0,30,1.52,9.28
CG3-P149,511263,9881869,21,30,1.48,14.5
CG3-P150,619667,9695116,21,30,1.43,14.5
CG3-P151,619611,9695349,0,30,1.54,6.96
CG3-P152,614407,9699035,0,30,1.39,11.6
CG3-P153,613201,9699162,21,30,1.53,8.7
CG3-P154,601224,9699872,0,30,1.56,5.22
CG3-P155,614731,9696268,0,30,1.81,10.44
CG3-P156,607230,9688959,21,30,1.57,7.54
CG3-P157,604431,9688933,21,30,1.4,24.94
CG3-P158,590686,9671604,0,10,1.59,1.74
CG3-P159,591384,9670858,21,30,1.44,1.74
CG3-P160,592172,9672028,21,30,1.37,29
CG3-P161,591677,9676196,21,30,1.1,27.26
CG3-P162,590731,9677534,0,30,1.51,1.74
CG3-P163,589858,9679877,0,30,1.52,9.28
CG3-P164,587851,9681551,21,30,1.48,13.92
CG3-P165,591017,9691726,21,30,1.49,12.76
CG3-P166,586509,9692910,21,30,1.47,1.74
CG3-P167,540763,9883679,21,30,1.36,30.16
CG3-P168,539080,9883752,21,30,1.47,15.66
CG3-P169,538391,9883990,21,30,1.56,5.8
CG3-P170,529677,9867118,0,30,1.52,9.28
CG3-P171,529737,9869596,0,30,1.35,30.74
CG3-P172,529625,9870011,21,30,1.56,5.22
CG3-P173,527472,9879856,0,30,1.48,13.92
CG3-P174,527699,9879778,0,30,1.48,13.92
CG3-P175,540505,9870434,21,30,1.45,17.4
